Lower Bound	Approximation	Operations	Indels	Reversals	Transpositions
35	3.0	105	60	45	0
37	2.972972972972973	110	57	53	0
38	3.026315789473684	115	72	43	0
37	2.972972972972973	110	69	40	1
37	2.972972972972973	110	63	47	0
34	3.0588235294117645	104	64	40	0
36	3.0555555555555554	110	67	43	0
34	2.9411764705882355	100	58	42	0
35	3.0	105	64	40	1
36	2.9722222222222223	107	66	41	0
37	3.027027027027027	112	68	44	0
38	3.026315789473684	115	67	48	0
36	3.0	108	61	47	0
38	2.9473684210526314	112	69	43	0
37	2.972972972972973	110	67	43	0
36	3.0277777777777777	109	63	46	0
35	2.9714285714285715	104	61	43	0
37	2.945945945945946	109	64	45	0
38	3.026315789473684	115	70	45	0
38	3.026315789473684	115	66	49	0
37	3.0	111	67	44	0
35	3.085714285714286	108	58	50	0
32	3.0	96	60	36	0
36	2.9722222222222223	107	62	44	1
38	2.9473684210526314	112	62	50	0
38	3.0	114	74	39	1
35	3.0	105	65	40	0
37	3.0	111	71	40	0
37	3.0	111	68	43	0
37	2.972972972972973	110	66	44	0
36	3.0277777777777777	109	63	46	0
33	3.090909090909091	102	57	45	0
35	3.057142857142857	107	63	44	0
34	3.088235294117647	105	61	44	0
36	2.9444444444444446	106	63	43	0
34	3.0294117647058822	103	60	43	0
36	3.0277777777777777	109	57	52	0
37	3.054054054054054	113	63	50	0
38	3.026315789473684	115	68	47	0
37	2.972972972972973	110	66	44	0
35	3.057142857142857	107	61	46	0
33	3.0606060606060606	101	54	47	0
38	3.0	114	66	48	0
38	3.0	114	70	44	0
37	3.135135135135135	116	71	45	0
36	3.0277777777777777	109	62	47	0
38	3.026315789473684	115	69	46	0
33	3.0	99	59	40	0
37	2.945945945945946	109	62	47	0
39	2.9743589743589745	116	70	46	0
35	3.0	105	59	46	0
36	3.0	108	70	36	2
36	2.9722222222222223	107	63	44	0
36	3.0277777777777777	109	61	48	0
38	2.9210526315789473	111	65	46	0
36	3.0	108	66	42	0
38	2.973684210526316	113	71	42	0
35	3.0285714285714285	106	58	47	1
37	2.972972972972973	110	61	49	0
38	3.0	114	66	46	2
34	3.0	102	60	42	0
38	3.026315789473684	115	76	39	0
37	2.945945945945946	109	64	45	0
35	3.057142857142857	107	67	38	2
33	2.9393939393939394	97	55	41	1
36	3.0277777777777777	109	63	46	0
37	2.918918918918919	108	63	45	0
37	2.945945945945946	109	63	46	0
35	2.942857142857143	103	69	33	1
34	2.9705882352941178	101	67	32	2
36	3.0833333333333335	111	63	48	0
36	2.9722222222222223	107	57	50	0
34	3.0	102	59	43	0
39	3.0	117	65	52	0
35	3.0285714285714285	106	61	42	3
37	3.108108108108108	115	71	44	0
35	2.9714285714285715	104	60	44	0
36	3.0555555555555554	110	60	50	0
36	2.9722222222222223	107	66	41	0
34	3.0588235294117645	104	66	38	0
36	3.0	108	62	46	0
36	2.9722222222222223	107	58	49	0
36	3.0277777777777777	109	70	39	0
36	3.0277777777777777	109	62	47	0
36	2.9722222222222223	107	61	46	0
38	3.0	114	63	51	0
36	3.0	108	65	42	1
36	3.0277777777777777	109	60	49	0
33	2.9393939393939394	97	63	34	0
37	3.027027027027027	112	64	48	0
36	3.0277777777777777	109	61	48	0
36	3.0277777777777777	109	68	41	0
37	2.918918918918919	108	67	41	0
38	3.026315789473684	115	66	49	0
36	2.9722222222222223	107	57	50	0
35	3.085714285714286	108	64	44	0
36	3.0277777777777777	109	63	46	0
35	2.942857142857143	103	57	46	0
40	3.0	120	70	50	0
36	2.9722222222222223	107	66	41	0
34	2.9411764705882355	100	63	36	1
36	3.0833333333333335	111	58	53	0
37	3.027027027027027	112	65	45	2
34	3.0294117647058822	103	61	42	0
38	3.0526315789473686	116	69	47	0
38	2.9473684210526314	112	68	44	0
38	2.9473684210526314	112	69	42	1
35	2.942857142857143	103	59	44	0
36	2.9722222222222223	107	68	39	0
37	3.054054054054054	113	67	44	2
33	2.909090909090909	96	56	40	0
38	2.973684210526316	113	71	41	1
38	3.0	114	66	48	0
35	2.9714285714285715	104	58	46	0
38	3.026315789473684	115	70	45	0
37	3.0	111	68	42	1
37	2.972972972972973	110	64	46	0
37	2.945945945945946	109	70	39	0
37	3.0	111	62	48	1
36	3.0555555555555554	110	65	45	0
35	2.9714285714285715	104	59	45	0
35	3.0	105	61	44	0
35	3.0	105	65	40	0
37	2.945945945945946	109	66	42	1
36	3.0	108	62	46	0
37	3.0	111	65	46	0
38	3.0	114	67	45	2
35	3.0	105	63	41	1
35	3.0285714285714285	106	60	46	0
36	2.9722222222222223	107	63	44	0
37	2.972972972972973	110	64	46	0
36	3.0555555555555554	110	65	45	0
36	3.0555555555555554	110	63	47	0
